"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse","State"
"180",14699,"C0211F015",39.28,1.617319877,"measured",0,2,"",2124,-120.2,39.15,"F","CA"
"181",14727,"C0211F032",52.3,1.617319877,"measured",0,6,"",NA,-120.24,39.3,"F","CA"
"182",14731,"C0211F033",41.94,1.617319877,"measured",0,3,"",NA,-120.24,39.3,"F","CA"
"183",14735,"C0211F034",38.89,1.617319877,"measured",0,5,"",NA,-120.24,39.3,"F","CA"
"184",14739,"C0211F035",52.61,1.617319877,"measured",0,4,"",NA,-120.24,39.3,"F","CA"
"185",14748,"C0211F042",47.84,1.617319877,"measured",0,2,"",NA,-120.28,38.33,"F","CA"
"186",14753,"C0211F043",46.66,1.617319877,"measured",0,3,"",NA,-120.28,38.33,"F","CA"
"187",14758,"C0211F044",51.29,1.617319877,"measured",0,5,"",NA,-120.28,38.33,"F","CA"
"188",14762,"C0211F045",48.87,1.617319877,"measured",0,4,"",NA,-120.28,38.33,"F","CA"
"189",14774,"C0211F052",51.74,1.617319877,"measured",0,2,"",1585,-121.69,40.39,"F","CA"
"190",14780,"C0211F053",33.96,1.617319877,"measured",0,1,"",1585,-121.69,40.39,"F","CA"
"191",14786,"C0211F054",47.08,1.617319877,"measured",0,4,"",1585,-121.69,40.39,"F","CA"
"192",14793,"C0211F055",52.47,1.617319877,"measured",0,2,"",1585,-121.69,40.39,"F","CA"
"193",15464,"C0214F041",51.32,1.617319877,"measured",0,5,"",2002,-120.09,39.34,"F","CA"
"194",15469,"C0214F042",52.48,1.617319877,"measured",0,3,"",2002,-120.09,39.34,"F","CA"
"195",15472,"C0214F043",49.44,1.617319877,"measured",0,3,"",2002,-120.09,39.34,"F","CA"
"196",15478,"C0214F045",46.27,1.617319877,"measured",0,4,"",2002,-120.09,39.34,"F","CA"
"197",15482,"C0214F051",49.95,1.617319877,"measured",0,4,"",NA,-120.21,39.38,"F","CA"
"198",15489,"C0214F052",49.79,1.617319877,"measured",0,2,"",NA,-120.21,39.38,"F","CA"
"199",15493,"C0214F053",53.63,1.617319877,"measured",0,3,"",NA,-120.21,39.38,"F","CA"
"200",15497,"C0214F054",35.83,1.617319877,"measured",0,5,"",NA,-120.21,39.38,"F","CA"
"201",15501,"C0214F055",43.07,1.617319877,"measured",0,7,"",NA,-120.21,39.38,"F","CA"
"202",15769,"C0215F011",48.98,1.617319877,"measured",0,2,"",88,-122.4,38.49,"F","CA"
"203",15782,"C0215F013",43.17,1.617319877,"measured",0,2,"",88,-122.4,38.49,"F","CA"
"204",15788,"C0215F014",34,1.617319877,"measured",0,2,"",88,-122.4,38.49,"F","CA"
"205",15795,"C0215F015",45.9,1.617319877,"measured",0,3,"",88,-122.4,38.49,"F","CA"
"206",15830,"C0215F041",32.83,1.617319877,"measured",0,3,"",515,-124.06,41.87,"F","CA"
"207",15835,"C0215F042",30.55,1.617319877,"measured",0,3,"",515,-124.06,41.87,"F","CA"
"208",15840,"C0215F043",24.77,1.617319877,"measured",0,3,"",515,-124.06,41.87,"F","CA"
"209",15845,"C0215F044",39.49,1.617319877,"measured",0,2,"",515,-124.06,41.87,"F","CA"
"210",15860,"C0215F052",49.86,1.617319877,"measured",0,2,"",1219,-121.77,40.52,"F","CA"
"211",15870,"C0215F054",52.42,1.617319877,"measured",0,1,"",1219,-121.77,40.52,"F","CA"
"212",15876,"C0215F055",52.7,1.617319877,"measured",0,3,"",1219,-121.77,40.52,"F","CA"
"213",16738,"C0217F021",38.71,1.617319877,"measured",0,7,"",650,-123.68,39.74,"F","CA"
"214",16753,"C0217F024",27.08,1.617319877,"measured",0,6,"",650,-123.68,39.74,"F","CA"
"215",16757,"C0217F025",29.29,1.617319877,"measured",0,4,"",650,-123.68,39.74,"F","CA"
"216",17333,"C0218R071",24.72,1.617319877,"measured",0,5,"",771,-122.52,41.67,"R","CA"
"217",17341,"C0218R072",23.56,1.617319877,"measured",0,6,"",771,-122.52,41.67,"R","CA"
"218",17347,"C0218R073",17.15,1.617319877,"measured",0,6,"",771,-122.52,41.67,"R","CA"
"219",17354,"C0218R074",26.55,1.617319877,"measured",0,5,"",771,-122.52,41.67,"R","CA"
"220",17361,"C0218R075",25.83,1.617319877,"measured",0,5,"",771,-122.52,41.67,"R","CA"
"221",17611,"C0219F021",51.01,1.617319877,"measured",0,2,"",1398,-121.77,41.28,"F","CA"
"222",17620,"C0219F022",51.88,1.617319877,"measured",0,2,"",1398,-121.77,41.28,"F","CA"
"223",17627,"C0219F023",43.78,1.617319877,"measured",0,1,"",1398,-121.77,41.28,"F","CA"
"224",17635,"C0219F024",51.44,1.617319877,"measured",0,3,"",1398,-121.77,41.28,"F","CA"
"225",17642,"C0219F025",52.15,1.617319877,"measured",0,2,"",1398,-121.77,41.28,"F","CA"
"226",17700,"C0219F051",43.05,1.617319877,"measured",0,1,"",989,-122.76,39.09,"F","CA"
"227",17710,"C0219F052",53.24,1.617319877,"measured",0,3,"",989,-122.76,39.09,"F","CA"
"228",17718,"C0219F053",48.31,1.617319877,"measured",0,2,"",989,-122.76,39.09,"F","CA"
"229",17725,"C0219F054",42.55,1.617319877,"measured",0,1,"",989,-122.76,39.09,"F","CA"
"230",17736,"C0219F061",45.32,1.617319877,"measured",0,3,"",1049,-123.32,39.89,"F","CA"
"231",17743,"C0219F062",40.27,1.617319877,"measured",0,4,"",1049,-123.32,39.89,"F","CA"
"232",17749,"C0219F063",40.17,1.617319877,"measured",0,5,"",1049,-123.32,39.89,"F","CA"
"233",17755,"C0219F064",49.11,1.617319877,"measured",0,2,"",1049,-123.32,39.89,"F","CA"
"234",17761,"C0219F065",41.47,1.617319877,"measured",0,5,"",1049,-123.32,39.89,"F","CA"
"235",17792,"C0219F081",43.51,1.617319877,"measured",0,2,"",377,-121.53,39.69,"F","CA"
"236",17800,"C0219F082",48.85,1.617319877,"measured",0,2,"",377,-121.53,39.69,"F","CA"
"237",17842,"C0219F101",15.98,1.617319877,"measured",0,2,"",625,-121.13,39.21,"F","CA"
"238",17847,"C0219F102",27.94,1.617319877,"measured",0,1,"",625,-121.13,39.21,"F","CA"
"239",17851,"C0219F103",44.13,1.617319877,"measured",0,2,"",625,-121.13,39.21,"F","CA"
"240",17855,"C0219F104",50.56,1.617319877,"measured",0,2,"",625,-121.13,39.21,"F","CA"
"241",17859,"C0219F105",35.08,1.617319877,"measured",0,2,"",625,-121.13,39.21,"F","CA"
"242",17868,"C0219F111",36.43,1.617319877,"measured",0,4,"",NA,-121.05,39.46,"F","CA"
"243",17872,"C0219F112",46.61,1.617319877,"measured",0,5,"",NA,-121.05,39.46,"F","CA"
"244",17863,"C0219F113",32.21,1.617319877,"measured",0,6,"",NA,-121.05,39.46,"F","CA"
"245",17876,"C0219F114",37.2,1.617319877,"measured",0,3,"",NA,-121.05,39.46,"F","CA"
"246",17880,"C0219F115",44.76,1.617319877,"measured",0,6,"",NA,-121.05,39.46,"F","CA"
"247",18235,"C0219R121",46.98,1.617319877,"measured",0,7,"",460,-122.28,38.44,"R","CA"
"248",18250,"C0219R123",31.68,1.617319877,"measured",0,2,"",460,-122.28,38.44,"R","CA"
"249",18264,"C0219R125",39.7,1.617319877,"measured",0,1,"",460,-122.28,38.44,"R","CA"
"250",18413,"C0220F014",16.92,1.617319877,"measured",0,5,"",1482,-121.48,40.34,"F","CA"
"251",18457,"C0220F031",52.91,1.617319877,"measured",0,14,"",2139,-120.4,39.48,"F","CA"
"252",18463,"C0220F033",48.74,1.617319877,"measured",0,8,"",2139,-120.4,39.48,"F","CA"
"253",18468,"C0220F034",43.71,1.617319877,"measured",0,10,"",2139,-120.4,39.48,"F","CA"
